Gene	Category	DMSO	Size	rho	p	FDR	depleted	enriched
CTRL_ZHANG	Nontargeting	0.403702267803347	714	1.22958205861373e-143	4.42799199419047e-06	4.95049504950495e-05	NA	1
EP300	Other	1.29250392861095	10	1.78705005899592e-20	4.42799199419047e-06	4.95049504950495e-05	NA	2
AFF4	Other	1.09274007157534	10	3.67961725327056e-16	4.42799199419047e-06	4.95049504950495e-05	NA	3
MED19	Other	1.0625889403114	10	3.71283714398055e-15	4.42799199419047e-06	4.95049504950495e-05	NA	4
RRM1	Essential	-3.03272386905732	10	1.13700157123716e-13	4.42799199419047e-06	4.95049504950495e-05	1	NA
CTRL_WANG	Nontargeting	0.352612218580135	83	1.16297312761525e-13	4.42799199419047e-06	4.95049504950495e-05	NA	5
CHEK1	Other	-2.72412622018874	10	3.2393680121492e-13	4.42799199419047e-06	4.95049504950495e-05	2	NA
ARCN1	Essential	-2.11138023083513	10	2.77623418718196e-12	4.42799199419047e-06	4.95049504950495e-05	3	NA
AAVS1	Nonessential	0.188205493791187	267	9.80782157388027e-12	4.42799199419047e-06	4.95049504950495e-05	NA	6
KPNB1	Essential	-2.33355469288232	10	1.02976902862504e-11	4.42799199419047e-06	4.95049504950495e-05	4	NA
RPL18	Essential	-1.98642518394614	10	1.4213378465352e-11	4.42799199419047e-06	4.95049504950495e-05	5	NA
SNRNP200	Essential	-1.70929848485041	10	1.54759876223072e-11	4.42799199419047e-06	4.95049504950495e-05	6	NA
RPL11	Essential	-1.77365772556245	10	1.69065117317564e-11	4.42799199419047e-06	4.95049504950495e-05	7	NA
DYNC1H1	Essential	-2.0093806549552	10	1.88159284545574e-11	4.42799199419047e-06	4.95049504950495e-05	8	NA
PSMC4	Essential	-2.10389554245831	10	2.1029560187151e-11	4.42799199419047e-06	4.95049504950495e-05	9	NA
RUVBL2	Essential	-1.90342016396457	10	2.30084140503518e-11	4.42799199419047e-06	4.95049504950495e-05	10	NA
RPA1	Essential	-2.34001939524807	10	3.32768780069133e-11	4.42799199419047e-06	4.95049504950495e-05	11	NA
RPS9	Essential	-1.96315817033759	10	4.92804329271729e-11	4.42799199419047e-06	4.95049504950495e-05	12	NA
FBXW11	Other	-2.25648657987986	10	5.71326651114395e-11	4.42799199419047e-06	4.95049504950495e-05	13	NA
EFTUD2	Essential	-1.78550053501014	10	6.36780470925064e-11	4.42799199419047e-06	4.95049504950495e-05	14	NA
SF3B3	Essential	-2.23771737081398	10	7.04776124941666e-11	4.42799199419047e-06	4.95049504950495e-05	15	NA
CCT3	Essential	-1.67677109651513	10	1.07705287366932e-10	4.42799199419047e-06	4.95049504950495e-05	16	NA
AURKB	Other	-2.18233537762729	10	1.31225157918896e-10	4.42799199419047e-06	4.95049504950495e-05	17	NA
SF3B1	Essential	-1.95693995564068	10	1.50660274196539e-10	4.42799199419047e-06	4.95049504950495e-05	18	NA
