Gene	Category	PRMT5	Size	rho	p	FDR	depleted	enriched
CTRL_ZHANG	Nontargeting	0.401596043045277	714	5.17191281041856e-131	4.42799199419047e-06	5.32311295645694e-05	NA	1
EP300	Other	1.28606760482827	10	1.12337519461232e-17	4.42799199419047e-06	5.32311295645694e-05	NA	2
AFF4	Other	1.02763074069552	10	4.49200661211722e-17	4.42799199419047e-06	5.32311295645694e-05	NA	3
RRM1	Essential	-2.83100150665088	10	1.01217653594575e-14	4.42799199419047e-06	5.32311295645694e-05	1	NA
AAVS1	Nonessential	0.205925313610131	267	8.31362368247812e-14	4.42799199419047e-06	5.32311295645694e-05	NA	4
CTRL_WANG	Nontargeting	0.321144379542037	83	8.68494449940817e-14	4.42799199419047e-06	5.32311295645694e-05	NA	5
CHEK1	Other	-2.55659206687324	10	5.62018769800091e-13	4.42799199419047e-06	5.32311295645694e-05	2	NA
SMARCB1	Other	0.928176100146983	10	7.00666184976528e-13	4.42799199419047e-06	5.32311295645694e-05	NA	6
MED19	Other	0.89001956138992	10	1.81991586193824e-12	4.42799199419047e-06	5.32311295645694e-05	NA	7
RPS9	Essential	-1.89040938099135	10	4.53769674187509e-12	4.42799199419047e-06	5.32311295645694e-05	3	NA
PPP2R1A	Essential	-1.86398509210503	10	1.05607212776128e-11	4.42799199419047e-06	5.32311295645694e-05	4	NA
RPL11	Essential	-1.75974760358424	10	1.54759876223072e-11	4.42799199419047e-06	5.32311295645694e-05	5	NA
EIF4A3	Essential	-2.42068833779445	10	1.58086267685051e-11	4.42799199419047e-06	5.32311295645694e-05	6	NA
KPNB1	Essential	-2.26899697595761	10	2.97932988660249e-11	4.42799199419047e-06	5.32311295645694e-05	7	NA
RPS13	Essential	-2.113633016094	10	3.18780583606292e-11	4.42799199419047e-06	5.32311295645694e-05	8	NA
AURKB	Other	-2.19856257109638	10	3.4422566776418e-11	4.42799199419047e-06	5.32311295645694e-05	9	NA
PSMB3	Essential	-2.18774285977302	10	4.10083828517662e-11	4.42799199419047e-06	5.32311295645694e-05	10	NA
ARCN1	Essential	-1.92578979273284	10	5.4990424653812e-11	4.42799199419047e-06	5.32311295645694e-05	11	NA
SMARCC1	Other	0.764001473899077	10	5.52976410266811e-11	4.42799199419047e-06	5.32311295645694e-05	NA	8
RUVBL2	Essential	-1.70188944825978	10	6.25955733831334e-11	4.42799199419047e-06	5.32311295645694e-05	12	NA
EFTUD2	Essential	-1.66905198405179	10	6.36780470925064e-11	4.42799199419047e-06	5.32311295645694e-05	13	NA
SF3B3	Essential	-2.30191256275835	10	9.37873353293731e-11	4.42799199419047e-06	5.32311295645694e-05	14	NA
RAN	Essential	-2.22887274946313	10	1.11258137670424e-10	4.42799199419047e-06	5.32311295645694e-05	15	NA
RUVBL1	Essential	-1.70927564844458	10	1.18681989378707e-10	4.42799199419047e-06	5.32311295645694e-05	16	NA
PSMC4	Essential	-1.97260761389896	10	1.25091992376694e-10	4.42799199419047e-06	5.32311295645694e-05	17	NA
CCT3	Essential	-1.35227992358495	10	1.2858733299725e-10	4.42799199419047e-06	5.32311295645694e-05	18	NA
RPL18	Essential	-1.88026384973634	10	1.838110212036e-10	4.42799199419047e-06	5.32311295645694e-05	19	NA
SNRNP200	Essential	-1.55687274671842	10	2.31758905320324e-10	4.42799199419047e-06	5.32311295645694e-05	20	NA
RPA1	Essential	-2.13054228846189	10	2.91885796778602e-10	4.42799199419047e-06	5.32311295645694e-05	21	NA
PHF5A	Essential	-1.80348669867347	10	3.21168557911183e-10	4.42799199419047e-06	5.32311295645694e-05	22	NA
DYNC1H1	Essential	-1.82672095067705	10	7.77831531318864e-10	4.42799199419047e-06	5.32311295645694e-05	23	NA
PSMD1	Essential	-1.76703920725538	10	9.8609566865269e-10	4.42799199419047e-06	5.32311295645694e-05	24	NA
FBXW11	Other	-1.92876583910183	10	1.01747901067808e-09	4.42799199419047e-06	5.32311295645694e-05	25	NA
OGT	Other	-1.5714026103846	10	1.11943211146313e-09	4.42799199419047e-06	5.32311295645694e-05	26	NA
AURKA	Other	-1.79987140397115	10	1.45770643860382e-09	4.42799199419047e-06	5.32311295645694e-05	27	NA
RPS15A	Essential	-1.96766921778949	10	1.5198365565759e-09	4.42799199419047e-06	5.32311295645694e-05	28	NA
CDC6	Other	-1.636181228933	10	2.08012080791029e-09	4.42799199419047e-06	5.32311295645694e-05	29	NA
CNOT3	Other	-1.43770486630417	10	2.18179712729677e-09	4.42799199419047e-06	5.32311295645694e-05	30	NA
RPL10A	Essential	-1.68171418107114	10	2.47878895183791e-09	4.42799199419047e-06	5.32311295645694e-05	31	NA
RPL32	Essential	-1.9969350074983	10	2.49980552672671e-09	4.42799199419047e-06	5.32311295645694e-05	32	NA
VCP	Essential	-2.10864180125337	10	3.12801367858355e-09	4.42799199419047e-06	5.32311295645694e-05	33	NA
MED12	Other	0.577469750429133	10	3.7145246680837e-09	4.42799199419047e-06	5.32311295645694e-05	NA	9
PRPF31	Essential	-1.46349352662318	10	4.42818184480682e-09	4.42799199419047e-06	5.32311295645694e-05	34	NA
SMARCA4	Other	0.79318364938662	10	4.92699713746383e-09	4.42799199419047e-06	5.32311295645694e-05	NA	10
HUWE1	Other	-1.34989994202367	10	5.14996440235335e-09	4.42799199419047e-06	5.32311295645694e-05	35	NA
CDK1	Other	-1.56724605182673	10	5.33852796092091e-09	4.42799199419047e-06	5.32311295645694e-05	36	NA
RPL34	Essential	-1.86031777727823	10	5.48449791493495e-09	4.42799199419047e-06	5.32311295645694e-05	37	NA
