Gene	Category	PRMT5_biased	DMSO_biased	PRMT5	DMSO	Z	P(-)	FDR(-)	P(+)	FDR(+)	P(replicates)	FDR(replicates)	P(sgRNAs)	FDR(sgRNAs)
PPP4C	Other	-1.39171197161336	-0.920505702979993	-1.4209994285462	-0.89281430953276	-5.17595770345292	1.13372412740392e-07	0.000126750357443759	0.999999886627587	0.999999886627587	0.00284682936208348	0.793765424626525	4.42799199419047e-06	0.00123762376237624
PRMT5	Other	-0.745324168797887	-0.26694505208118	-0.770068096489011	-0.265417674068363	-4.94534623961474	3.80043226570853e-07	0.000212444163653107	0.999999619956773	0.999999886627587	0.00750836722653789	0.793765424626525	4.42799199419047e-06	0.00123762376237624
HDGFRP2	Other	-0.413582905060868	-0.00966003945795823	-0.417286909777915	-0.00935764007276074	-3.99759632816415	3.19944768789793e-05	0.0119232750502329	0.999968005523121	0.999999886627587	0.00983173552907409	0.793765424626525	0.000154979719796667	0.0192519251925193
SMNDC1	Other	-1.115249017163	-0.787404497910528	-1.1601526846819	-0.766770823910233	-3.8550493760088	5.78531369679003e-05	0.0161699517825281	0.999942146863032	0.999999886627587	0.0401219795260021	0.793765424626525	4.42799199419047e-06	0.00123762376237624
PRMT1	Other	-0.348762585159153	0.0261356551555878	-0.351031826015771	0.0289112300861087	-3.72336540018544	9.82923431288841e-05	0.0219781679236185	0.999901707656871	0.999999886627587	0.0485035945686894	0.793765424626525	0.000677482775111143	0.0582635186595583
WDR77	Other	-0.338777368259597	0.0135935223748817	-0.338348183815715	0.00908807712416576	-3.40483825931327	0.000331016261018021	0.0616793633030246	0.999668983738982	0.999999886627587	0.0086879896549968	0.793765424626525	0.00634531252767495	0.241419141914191
SRSF3	Essential	-1.21426769235695	-0.955974221448781	-1.25588588372847	-0.923850115620492	-3.2539321202946	0.000569097365174091	0.090892979180662	0.999430902634826	0.999999886627587	0.0625532160523201	0.793765424626525	0.015413840131777	0.382948294829483
USP37	Other	-0.962103170597584	-0.719356704005297	-1.00024648756707	-0.705271241673223	-2.89078398092041	0.00192141082392899	0.268517162644076	0.998078589176071	0.999999886627587	0.110407551744435	0.851280295519161	0.0141474344214386	0.367833294957403
MBTD1	Other	-0.0891255757772929	0.208535267717113	-0.0862901589089006	0.203303854797313	-2.83805443638815	0.00226947204454165	0.281918860644174	0.997730527955458	0.999999886627587	0.0212926378972322	0.793765424626525	0.026687507748986	0.466641279512567
H2BFWT	Nonessential	-0.00880876687464285	0.27386248389775	-0.00682060204305305	0.274852799545597	-2.76044205044878	0.00288615988181575	0.322672674787001	0.997113840118184	0.999999886627587	0.0391736765164732	0.793765424626525	0.00505233886537133	0.225940594059406
H3F3A	Other	-1.03377920544774	-0.830536777014648	-1.07850171661067	-0.806141988378642	-2.66917935504871	0.00380184175495203	0.386405371094216	0.996198158245048	0.999999886627587	0.20591831919858	0.914359572128442	0.095126552011194	0.668877265084999
INO80B	Other	-0.749454307639782	-0.507722057095106	-0.768546463271273	-0.502101540113832	-2.61122144379245	0.00451097265216588	0.420272285426788	0.995489027347834	0.999999886627587	0.0382416720771546	0.793765424626525	0.0421146318567456	0.511763552592883
UBE2A	Other	-0.604823833273788	-0.368366959888517	-0.615145810757138	-0.35771611747968	-2.52288313225895	0.00581985385144601	0.464788822384405	0.994180146148554	0.999999886627587	0.0737346874462588	0.800343500630266	0.00431729219433571	0.217615511551155
PRPF31	Essential	-1.46349352662318	-1.2820369623004	-1.49400375374248	-1.23657652542134	-2.52285897867868	0.00582025358978682	0.464788822384405	0.994179746410213	0.999999886627587	0.0880202215668061	0.840951335454301	0.0287243840663136	0.468144640551012
HUWE1	Other	-1.34989994202367	-1.17698971598688	-1.38511105720698	-1.13239839205158	-2.47666198146128	0.00663087162330889	0.472932473708944	0.993369128376691	0.999999886627587	0.105769703244894	0.844646630198514	0.0335243273880161	0.493106905627272
RNF20	Other	-0.227443458022809	0.0384549175366422	-0.216478683420955	0.0353535172005145	-2.46803449760026	0.00679286129823062	0.472932473708944	0.993207138701769	0.999999886627587	0.288625256486484	0.964620626705594	0.0516702385802086	0.543027667252707
INO80	Other	-0.974433807867715	-0.769096675022136	-1.00000995602245	-0.750266850288149	-2.44756390312595	0.00719128090612884	0.472932473708944	0.992808719093871	0.999999886627587	0.0851546979731583	0.838496546294035	0.0150684567562302	0.382875787578758
ERCC6	Other	0.0717228028784523	0.319765218320543	0.0743576956845696	0.317600905136876	-2.38387280813025	0.00856576116320328	0.53202894335896	0.991434238836797	0.999999886627587	0.00351459707581659	0.793765424626525	0.0102508014665509	0.308539603960396
DICER1	Other	-0.124946665454906	0.11426225226514	-0.126786693092186	0.112535670334343	-2.34545327559352	0.00950198018141964	0.559116518043535	0.99049801981858	0.999999886627587	0.0901975806215391	0.840951335454301	0.0344364937388193	0.493106905627272
GSE1	Other	-0.202464248525067	0.0405543458546721	-0.203164071713656	0.0339454211352168	-2.32376982957221	0.0100689167867282	0.562852448378108	0.989931083213272	0.999999886627587	0.0494453267216315	0.793765424626525	0.0203023432933633	0.42033370003667
MLLT6	Other	-0.438346226482552	-0.210284248867681	-0.440639966119415	-0.207472937106284	-2.28513846873419	0.0111523548854114	0.565168717682863	0.988847645114589	0.999999886627587	0.0784080687894932	0.819254400996761	0.0937804424449601	0.668877265084999
IDH1	Other	-0.0585344933154317	0.175002801766404	-0.0565437383599573	0.175318161205664	-2.27234978411267	0.0115326960630966	0.565168717682863	0.988467303936903	0.999999886627587	0.0337480873805499	0.793765424626525	0.0285295524185692	0.468144640551012
ACTR8	Other	-0.523259436903633	-0.297245791722944	-0.527881593201443	-0.296337185905269	-2.26923874519504	0.0116269056410607	0.565168717682863	0.988373094358939	0.999999886627587	0.105489741413859	0.844646630198514	0.0628730583255105	0.579005031650706
