Gene	Category	DMSO	PRMT5
AAVS1	Nonessential	0.188205493791187	0.205925313610131
ABL1	Other	-0.143588248220159	-0.0271585899228059
ACTL6A	Other	-0.361432479756777	-0.490022108797479
ACTL6B	Other	0.136135276130891	0.101770770114284
ACTR3B	Other	0.0535750684418088	-0.159849962400851
ACTR5	Other	-0.089916787050734	-0.0626520727351051
ACTR6	Other	0.210284638233286	0.118484719676653
ACTR8	Other	-0.297245791722944	-0.523259436903633
AEBP2	Other	0.0716192720217278	0.175486192419517
AFF1	Other	0.2690647343817	0.0719294823162904
AFF2	Other	0.305461270107165	0.2634475194444
AFF3	Other	0.040347058073953	-0.0110068702418671
AFF4	Other	1.09274007157534	1.02763074069552
AIRE	Other	-0.00788309150648698	-0.131316722156494
AKAP1	Other	-0.348411319770411	-0.315316252703038
AKT1	Other	0.137072486294179	0.0269867862074653
AKT2	Other	0.0120552107462659	0.0644309630423352
AKT3	Other	0.107233020682026	-0.0713024174041791
ALDH1A2	Other	0.0232315646534973	0.0195908452323181
ALDH1B1	Other	-0.0122260124686556	0.0607477674727671
ALDH6A1	Other	0.0825832456973591	0.0874915626931997
ALDH7A1	Other	-0.055738352407434	-0.129138290847505
ALKBH1	Other	0.0608707746049177	0.177067999548207
ALKBH2	Other	0.0287902587165304	-0.0469017087817597
ALKBH3	Other	0.228990352150668	0.14642507344342
ALKBH4	Other	-0.0122201067397035	-0.0316682189478662
ALKBH5	Other	-0.00499965551148279	0.0509229901940294
ALKBH6	Other	0.110577776955784	0.136392017763819
ALKBH7	Other	-0.0472155265393736	-0.0467148085885094
ALKBH8	Other	0.187274944946241	0.199348675589575
ALPK3	Other	-0.111170350634129	0.00303361051485829
AMER1	Other	0.135178104130932	0.0778741403344126
AMFR	Other	0.286169103230697	0.261024762080886
ANAPC11	Other	-0.631586818969336	-0.560052885353384
ANAPC2	Other	-1.28516705533488	-1.29914120455614
ANAPC4	Other	-1.31175104458018	-1.07879427594114
ANAPC5	Other	-1.1196692759529	-0.978989447544985
ANP32A	Other	-0.107456378940196	-0.0766512429565861
ANP32B	Other	0.171747771174423	0.299857724261454
ANP32E	Other	-0.201555073793351	-0.0766466829147897
APC	Other	0.264305712442022	0.138932666252617
APOBEC1	Nonessential	-0.93616152985623	-1.02321702585519
APOBEC2	Other	0.149081964465969	0.177433594004587
APOBEC3A	Other	0.189289660236921	0.252546408991201
APOBEC3B	Other	0.0786106455567382	0.0593855699260481
APOBEC3C	Other	0.18963423953033	0.170779362321194
APOBEC3D	Other	0.0805083988060236	0.0507102774696704
APOBEC3F	Other	0.0778060043487183	0.107185542614631
APOBEC3G	Other	0.173043237246525	0.183490536511288
APOBEC3H	Other	0.10279660512047	0.200002589557434
ARCN1	Essential	-2.11138023083513	-1.92578979273285
ARID1A	Other	0.413614800775537	0.629297467538905
ARID1B	Other	0.035870411977814	0.22687692599717
ARID2	Other	0.590889565680645	0.656398697745698
ARID4A	Other	-0.194015662446293	-0.40097364693519
ARID4B	Other	-0.473221747337915	-0.500548738492114
ARNTL	Other	0.212750828098937	0.180013123467174
ARRB1	Other	-0.40087963960499	-0.22730823689747
ASCL1	Other	0.152127602857311	0.181802792862498
ASF1A	Other	0.0206806583177396	0.0881400889381505
ASF1B	Other	-0.0561785935238439	-0.0330740148232726
ASH1L	Other	-0.00262969368153237	-0.159946977191073
ASH2L	Other	-0.45147138975079	-0.446901357079218
ASXL1	Other	0.1582392983527	0.228117478362473
ASXL2	Other	0.179028993339672	-0.0238098065964799
ASXL3	Other	0.019782936759202	0.0346722436325929
ATAD2	Other	0.233084737060164	0.0172276800255063
ATAD2B	Other	0.0619367838154693	0.0959426189764432
ATM	Other	0.0193214181648046	0.0623347106246947
ATR	Other	-1.45737433331384	-1.02282347495696
ATRX	Other	-0.307777310644226	-0.251148978518506
ATXN7	Other	0.130912820412334	0.0960258299013892
ATXN7L3	Other	-0.178262918020303	-0.0490373718096247
AURKA	Other	-2.06602916108442	-1.79987140397115
AURKB	Other	-2.18233537762729	-2.19856257109639
AURKC	Other	0.142072792812855	0.0428320592108901
AXIN1	Other	-0.0355102949093773	-0.108635187500942
AXIN2	Other	-0.159504367372586	-0.147749490496965
BAP1	Other	0.170545610494499	0.188445914458631
BARD1	Other	-0.795849386739121	-0.896250189848816
BAZ1A	Other	0.150562181470742	0.119898683057985
BAZ1B	Other	-0.481305858436705	-0.503096057256007
BAZ2A	Other	0.0381261592601018	-0.0654521960865601
BAZ2B	Other	0.0364244231629164	-0.0387764483539184
BCOR	Other	-0.117862505102743	-0.168399223416833
BCORL1	Other	0.0397996543569724	0.175321956858104
BIRC3	Other	0.312105049900544	0.168287989760187
BMI1	Other	0.235514776858907	0.29515716486166
BMP2K	Other	-0.104515820063956	-0.0281620589452802
BPTF	Other	-0.433389282363285	-0.29886700522482
BRAF	Other	0.232040037082138	0.035380072477654
BRAP	Other	0.126972991034668	0.109159330833888
BRCA1	Other	-0.619043040935804	-0.490250731114659
BRCA2	Other	0.0749399806476334	0.100072933971128
BRCC3	Other	0.243984757840705	0.217962550588561
BRD1	Other	0.158288474376252	-0.0161241711931458
BRD2	Other	-0.385873689510344	-0.297287380083768
BRD3	Other	-0.00196540898134476	0.093584278980699
BRD4	Other	-0.115611128151304	-0.266723993442596
BRD7	Other	0.434229050268453	0.557267672965103
BRD8	Other	-0.115153288000592	0.0935800981300182
BRD9	Other	-0.150542178043001	-0.175971648980938
BRDT	Nonessential	0.0539258102723567	0.0630627725881975
BRMS1	Other	-0.474357501888989	-0.389517683394993
BRMS1L	Other	0.15995191038703	0.053404117300371
BRPF1	Other	0.579111846918709	0.496124737298265
BRPF3	Other	-0.229525969429528	-0.247827617805838
BRWD1	Other	0.205173763461719	0.187024634132465
BRWD3	Other	0.203482983546769	0.17655983599079
BTRC	Other	-0.215564508711724	-0.189403200588347
BUB1	Other	-0.288475750555398	-0.386216212933014
BUB1B	Other	-1.27179142514697	-1.20525220049225
CABIN1	Other	-0.681947618363341	-0.542827013846534
CALR	Other	0.291247540619983	0.250522395472039
CAMKMT	Other	0.114182959013138	-0.00496327417894466
CARM1	Other	0.0295750091307878	-0.191877016661811
CASP8	Other	0.185496601277553	0.00533998744857446
CBL	Other	0.214069430620251	0.217685921754531
CBLB	Other	0.231437617664509	0.26110916585057
CBLL1	Other	0.318693280872347	0.378774841836279
CBX1	Other	0.346590230281075	0.305581933396423
CBX2	Other	-0.116650729464868	-0.0355334251539391
CBX3	Other	0.119357077197596	0.164444656977549
CBX4	Other	-0.0685777246044158	-0.0311520641919228
CBX5	Other	0.246402057114889	0.164820616690981
CBX6	Other	0.0684365070908435	0.0211252553012551
CBX7	Other	0.302099258386134	0.136862878645389
CBX8	Other	-0.0780762215458582	-0.11968432129117
CCDC101	Other	-0.184848941545519	-0.0611733771054926
CCND1	Other	0.122507366691171	-0.0523317313612238
CCNT1	Other	0.274376221534078	0.209116182814527
CCT3	Essential	-1.67677109651514	-1.35227992358495
CCT4	Essential	-1.02673294689455	-0.649783359459823
CCT7	Essential	-1.4534808063381	-0.926771751269064
CCT8	Essential	-0.396512696397746	-0.418566916819895
CD79B	Other	-0.0621932252312238	-0.046036300558446
CDC20	Other	-1.68035421696652	-1.72346981920826
CDC23	Other	-1.39492799143344	-1.27824460605268
CDC34	Other	0.467513921420496	0.484098359367936
CDC5L	Essential	-0.816907912118517	-0.728988395959208
CDC6	Other	-1.71233469977762	-1.636181228933
CDC73	Other	-0.908951053031711	-0.846795905468465
CDH1	Other	0.16084358849985	0.191752352317426
CDH2	Other	0.499236204689804	0.474716520680406
CDK1	Other	-1.75019389764101	-1.56724605182673
CDK12	Other	-0.547173561983011	-0.709957951853826
CDK13	Other	0.429127005249578	0.484022869783754
CDK17	Essential	0.330349323034279	0.257526819415271
CDK2	Other	-0.0562613678862252	0.000181367921526153
CDK3	Other	0.0122342670429224	-0.0913348934512686
CDK4	Other	0.179881163297899	0.0942695274800324
CDK5	Other	-0.15147422613651	0.114406861695687
CDK6	Other	0.180083386004153	0.252941339435666
CDK7	Other	-0.746091931894224	-0.751022070942535
CDK8	Other	0.0858352630297779	0.217329120564196
CDK9	Other	0.0263244612729609	-0.0118839961123243
CDKN1A	Other	0.0244499533305201	0.00761376415062702
CDKN1B	Other	0.199551650217923	0.132085999362532
CDKN2A	Other	0.173245703621309	0.146723027280064
CDKN2C	Other	0.16918951906713	0.284459540218404
CDYL	Other	0.161392117509592	0.183257571270752
CDYL2	Other	0.25707016895953	0.392144724165266
CEBPA	Other	0.176194291908835	0.0288915291840519
CECR2	Other	0.074331221832086	-0.0646401544963299
CENPA	Other	-0.677212071666613	-0.601901697509063
CENPC	Other	-1.42106532374299	-1.19487356714888
CHAF1A	Other	-1.74327671912284	-1.59753882145749
CHAF1B	Other	-1.07007956185914	-0.969838958686879
CHD1	Other	0.0308027030904726	0.100585950428682
CHD1L	Other	0.05299840307558	0.184956200803636
CHD2	Other	-0.538641878664053	-0.442076201715993
CHD3	Other	0.143940144994738	-0.0323332629280217
CHD4	Essential	-1.44354333281116	-1.48380966493838
CHD5	Other	-0.171653219303763	-0.217340589676388
CHD6	Other	0.192634459666579	0.185243724012558
CHD7	Other	-0.624256437062328	-0.599025523657077
CHD8	Other	-0.637805589378611	-0.506495269400279
CHD9	Other	-0.0875191543883401	-0.0136028360227838
CHEK1	Other	-2.72412622018874	-2.55659206687324
CHEK2	Other	0.29555399286458	0.150902643340598
CHFR	Other	0.0792438020519979	0.0162935140270966
CHMP2A	Essential	-1.20293264596122	-0.898572024339696
CHRAC1	Other	0.246295285762982	0.0650082661114832
CIC	Other	0.0760442838809823	0.236294635187399
CLK4	Other	0.130201636575244	0.18980634128382
CLOCK	Other	0.130748264267534	0.282207053616596
CLTC	Essential	-1.29526018897552	-1.27383925611943
CNOT3	Other	-1.42896779172573	-1.43770486630417
COL2A1	Other	-0.0166463093860465	-0.135824538752423
CREBBP	Other	0.318889573696708	0.239917380055101
CSRP2BP	Other	0.0988968690152496	0.1689904569891
CTBP1	Other	0.0784582915090538	0.112698100885887
CTBP2	Other	0.0756006226584339	-0.0520036604188217
CTCF	Other	-0.0802790144170749	0.0953606221502207
CTNNB1	Other	0.266913602792095	0.312180091533502
CTR9	Other	-0.91859920607213	-0.908934951365085
CTRL_WANG	Nontargeting	0.352612218580135	0.321144379542037
CTRL_ZHANG	Nontargeting	0.403702267803347	0.401596043045277
CUL1	Other	0.0693969099622043	-0.0790487245835375
CUL2	Other	-1.12717534438749	-0.898780696278023
CUL3	Other	-0.226291664135555	-0.318201630544454
CUL4A	Other	-0.297507771764216	-0.0564105609205576
CUL4B	Other	0.123849674788141	0.163580306905478
CUL5	Other	0.0739064366325171	0.222888672117656
