Gene	Category	H2171.DMSO.18.R1.0	H2171.DMSO.18.R2.0	H2171.DMSO.18.R3.0	H2171.PRMT5.18.R1.0	H2171.PRMT5.18.R2.0	H2171.PRMT5.18.R3.0
AAVS1	Nonessential	0.188258819231318	0.178702022785548	0.197655639356696	0.225391930082832	0.229517729932499	0.162866280815062
ABL1	Other	-0.183085427944303	-0.153535813382367	-0.0941435033338062	0.107360038094227	-0.0349085941727942	-0.15392721368985
ACTL6A	Other	-0.557742556976479	-0.310752639696658	-0.215802242597193	-0.637573276986257	-0.333916540513495	-0.498576508892685
ACTL6B	Other	0.165343086587407	0.104578031202333	0.138484710602933	0.124542189794045	-0.0751623058553563	0.255932426404162
ACTR3B	Other	0.114961935669367	-0.0697783200470771	0.115541589703136	-0.269031227329136	-0.126405035884044	-0.0841136239893722
ACTR5	Other	-0.0781490463427807	0.0116773523378455	-0.203278667147267	-0.0998911477608706	0.156096253802294	-0.244161324246739
ACTR6	Other	0.033536632975547	0.415571345812066	0.181745935912246	0.000769068615654372	0.0985680361715554	0.256117054242748
ACTR8	Other	-0.256347178278547	-0.309290982106818	-0.326099214783468	-0.57197784567009	-0.646857721637545	-0.350942743403263
AEBP2	Other	0.087163419824126	-0.00778277578516307	0.135477172026221	0.110233303014321	0.184915851770952	0.231309422473278
AFF1	Other	0.199609197595745	0.343511769737142	0.264073235812211	0.112718874749413	0.348798454724106	-0.245728882524648
AFF2	Other	0.23881146914117	0.405329906264438	0.272242434915888	0.127653132839474	0.297183834683734	0.365505590809992
AFF3	Other	0.138421999820288	-0.0855881923581531	0.0682073667597245	0.00264018691083574	0.0198964036554512	-0.0555572012918881
AFF4	Other	1.03182451104816	1.18357149749594	1.06282420618193	0.9304306903954	1.05233331555175	1.10012821613941
AIRE	Other	0.00356047641966505	-0.0548679613454038	0.0276582104062778	-0.241112264484304	-0.000537109274785008	-0.152300792710395
AKAP1	Other	-0.377174680722192	-0.223143508932346	-0.444915769656697	-0.215349259233567	-0.335805773862781	-0.394793725012765
AKT1	Other	0.032697085346517	0.0768262910359823	0.301694082500036	-0.129276835689125	0.0678607878733306	0.14237640643819
AKT2	Other	0.0445540828631792	-0.0324318438033505	0.0240433931789691	-0.0817686929835067	0.193331594373671	0.0817299877368414
AKT3	Other	0.251336593742635	0.108181008132288	-0.0378185398288427	-0.0134065529634245	-0.113101005347693	-0.0873996939014202
ALDH1A2	Other	0.115691822021327	0.076957944288234	-0.122955072349069	0.024698933323573	-0.109246092679349	0.14331969505273
ALDH1B1	Other	-0.0235496759344626	-0.0983948847755817	0.0852665233040776	0.134058011227709	-0.0181547039218955	0.0663399951124881
ALDH6A1	Other	0.148715617741494	0.0173825323017745	0.0816515870488087	0.0496589991943106	0.097952610606115	0.114863078279173
ALDH7A1	Other	0.0439823768422782	-0.0575978351022089	-0.153599598962371	-0.194780236637404	-0.0113601633582068	-0.181274472546905
ALKBH1	Other	-0.0930184816218652	0.129561855867544	0.146068949569075	-0.0614921806792336	0.265165776934154	0.3275304023897
ALKBH2	Other	-0.122300348285888	0.0347674666531331	0.173903657782346	-0.121660744942301	-0.0497898577068589	0.0307454763038809
ALKBH3	Other	0.178974739985151	0.492027045309542	0.0159692711573105	-0.0149205359416209	0.374945062995021	0.0792506932768603
ALKBH4	Other	-0.180986405602725	0.0792211691637195	0.0651049162198948	0.0266230637970064	0.0383402850547424	-0.159968005695347
ALKBH5	Other	-0.178118873562883	0.103974913824952	0.0591449932034824	0.0229410736224807	0.0446183398586547	0.0852095571009529
ALKBH6	Other	0.0110637244012157	0.138742471663335	0.181927134802802	0.129003042094723	0.115726854532533	0.1644461566642
ALKBH7	Other	0.0768147185048523	-0.127768036743727	-0.0906932613792459	0.078841440480316	-0.0994667028087077	-0.119519163437137
ALKBH8	Other	0.117243061159283	0.244130547555733	0.200451226123708	0.064912296796339	0.330953067947481	0.202180662024906
ALPK3	Other	-0.063460484870996	-0.244022814461823	-0.026027752569568	0.0256060447189729	-0.0600429753938706	0.0435377622194725
AMER1	Other	0.274377281875253	0.181488272057824	-0.0503312415402813	0.143640450965175	0.0708579478438254	0.0191240221942378
AMFR	Other	0.187851405374797	0.395239804231288	0.275416100086006	0.206105821969518	0.324837781419223	0.252130682853918
ANAPC11	Other	-0.64631904790053	-0.573099467008261	-0.675341941999218	-0.606491090800588	-0.401515696257995	-0.672151869001569
ANAPC2	Other	-1.4042155646756	-1.05311032132511	-1.39817528000393	-1.5260860489773	-1.23641231770495	-1.13492524698617
ANAPC4	Other	-1.32129993132981	-1.43124314467075	-1.18271005773999	-1.23552230147001	-1.02281901650771	-0.978041509845709
ANAPC5	Other	-1.15491362577034	-1.2269187190311	-0.977175483057263	-1.0987993567148	-0.898193327336954	-0.939975658583201
ANP32A	Other	0.0411088299121876	-0.288930550839858	-0.0745474158929178	0.0904893234948488	-0.324709669318499	0.00426661695389194
ANP32B	Other	0.14164770130073	0.11951302907885	0.25408258314369	0.19683209552345	0.333052455366207	0.369688621894705
ANP32E	Other	-0.103708190863939	-0.16883264305704	-0.332124387459075	-0.102782929670452	-0.0311333336893096	-0.0960237853846073
APC	Other	0.100191716660018	0.275360642632328	0.417364778033721	0.0267112062195956	0.27247765021056	0.117609142327697
APOBEC1	Nonessential	-1.04434943757827	-0.909722752720506	-0.854412399269919	-1.13168075259027	-0.932092174030375	-1.00587815094494
APOBEC2	Other	0.148006899691321	0.262671119868056	0.0365678738385292	0.162515188564671	0.184378799338082	0.185406794111007
APOBEC3A	Other	0.203563021045955	0.311868842209916	0.0524371174548937	0.23688919428068	0.324383982097923	0.196366050595001
APOBEC3B	Other	-0.058602834053711	0.197457830892771	0.0969769398311549	0.0610641051501104	0.00700470838042566	0.110087896247608
APOBEC3C	Other	0.2650793347074	0.106983540077781	0.196839843805809	0.159995725074201	0.12992799349438	0.222414368395
APOBEC3D	Other	-0.0982882766091195	0.145865841871632	0.193947631155558	-0.184823482614945	0.0982319324425808	0.238722382581376
APOBEC3F	Other	-0.0569004068748067	0.041051504330405	0.249266915590557	0.236534463211633	-0.0975843018890394	0.182606466521301
APOBEC3G	Other	0.197358768734042	0.104697405202253	0.21707353780328	0.190756369756102	0.262150902948094	0.0975643368296668
APOBEC3H	Other	0.137039288078607	0.120873067964572	0.0504774593182312	0.157466657408406	0.195278836596064	0.247262274667831
ARCN1	Essential	-2.01239934543119	-2.08868291787277	-2.23305842920142	-2.10226681030173	-1.80757329065817	-1.86752927723863
ARID1A	Other	0.486420489795378	0.327749018980336	0.426674893550896	0.696751036304734	0.567827082863079	0.623314283448903
ARID1B	Other	-0.0536020276734512	-0.0155783710574609	0.176791634664354	0.067585620661883	0.247267674954246	0.365777482375381
ARID2	Other	0.64760895224648	0.508482192275865	0.616577552519592	0.703038133399252	0.712000762724641	0.554157197113202
ARID4A	Other	-0.092426067363941	-0.378403683093659	-0.111217236881278	-0.455594198160541	-0.347748491615074	-0.399578251029954
ARID4B	Other	-0.62532419936602	-0.394901992051788	-0.399439050595936	-0.43280081055403	-0.540750647166698	-0.528094757755615
ARNTL	Other	0.261647324809073	0.24985937831124	0.126745781176498	0.0958975637785721	0.339968546458611	0.10417326016434
ARRB1	Other	-0.389782286430371	-0.485730172616937	-0.327126459767663	-0.195321814606616	-0.145575701472293	-0.341027194613502
ASCL1	Other	0.314592569248335	0.074217871405031	0.0675723679185662	0.13239055579529	0.078811747909433	0.334206074882772
ASF1A	Other	0.0198544874017794	-0.0323528035672641	0.0745402911187036	0.0802478272021423	0.0975965947153441	0.0865758448969651
ASF1B	Other	-0.043805265894378	0.0737458328281438	-0.198476347505297	-0.364976314677073	0.184777686825311	0.0809765833819437
ASH1L	Other	0.145654101692047	-0.103730032210713	-0.0498131505259315	-0.27136770998277	-0.193040149679919	-0.0154330719105287
ASH2L	Other	-0.432785618393926	-0.333314065072628	-0.588314485785816	-0.553899192542097	-0.362591257372971	-0.424213621322586
ASXL1	Other	0.293161001501325	0.0686890622446918	0.112867831312082	0.207715340418262	0.40016445792854	0.0764726367406152
