Gene	Category	DMSO	plasmid	PRMT5
AAVS1	Nonessential	0.685430823839108	0.49722533004792	0.703150643658051
ABL1	Other	-0.424163071392338	-0.280574823172179	-0.307733413094985
ACTL6A	Other	-0.501023289938641	-0.139590810181865	-0.629612918979344
ACTL6B	Other	0.410795133898742	0.274659857767851	0.376430627882135
ACTR3B	Other	0.294387167465511	0.240812099023702	0.0809621366228516
ACTR5	Other	-0.0694445027266158	0.0204722843241182	-0.0421797884109869
ACTR6	Other	0.419150211231489	0.208865572998202	0.327350292674855
ACTR8	Other	0.116888587657049	0.414134379379993	-0.10912505752364
AEBP2	Other	0.0129613255674695	-0.0586579464542583	0.116828245965259
AFF1	Other	0.226319890048182	-0.0427448443335177	0.0291846379827727
AFF2	Other	0.477469194957058	0.172007924849892	0.435455444294293
AFF3	Other	-0.0108133210934833	-0.0511603791674363	-0.0621672494093034
AFF4	Other	1.23484168463326	0.142101613057916	1.16973235375344
AIRE	Other	0.0693899545725434	0.0772730460790304	-0.054043676077464
AKAP1	Other	-0.174987215846834	0.173424103923577	-0.141892148779461
AKT1	Other	0.493692008271644	0.356619521977466	0.383606308184931
AKT2	Other	0.114049816448894	0.101994605702628	0.166425568744963
AKT3	Other	0.0796454118127893	-0.0275876088692371	-0.0988900262734163
ALDH1A2	Other	0.0824171887461153	0.059185624092618	0.0787764693249361
ALDH1B1	Other	-0.0683902066361802	-0.0561641941675246	0.00458357330524252
ALDH6A1	Other	0.261922524744832	0.179339279047472	0.266830841740672
ALDH7A1	Other	0.112581692112879	0.168320044520313	0.0391817536728077
ALKBH1	Other	0.161012735890053	0.100141961285136	0.277209960833343
ALKBH2	Other	0.141404197824244	0.112613939107714	0.0657122303259539
ALKBH3	Other	0.293758335495889	0.0647679833452209	0.211193056788641
ALKBH4	Other	0.287224804342535	0.299444911082239	0.267776692134373
ALKBH5	Other	0.461236104237019	0.466235759748502	0.517158749942531
ALKBH6	Other	0.584014847135588	0.473437070179804	0.609829087943623
ALKBH7	Other	0.337885274680665	0.385100801220038	0.338385992631529
ALKBH8	Other	0.21203374291959	0.0247587979733486	0.224107473562924
ALPK3	Other	-0.509029448397254	-0.397859097763125	-0.394825487248267
AMER1	Other	-0.077875902313537	-0.213054006444469	-0.135179866110056
AMFR	Other	0.514239642864958	0.228070539634261	0.489095301715148
ANAPC11	Other	-0.51799562642798	0.113591192541356	-0.446461692812028
ANAPC2	Other	-1.16775075959197	0.117416295742909	-1.18172490881323
ANAPC4	Other	-1.51472298837745	-0.202971943797271	-1.28176621973841
ANAPC5	Other	-1.22194327306251	-0.102273997109606	-1.08126344465459
ANP32A	Other	0.134999073669207	0.242455452609403	0.165804209652817
ANP32B	Other	0.480772862174659	0.309025091000236	0.60888281526169
ANP32E	Other	-0.139467112500653	0.0620879612926979	-0.0145587216220919
APC	Other	0.332988453203987	0.0686827407619649	0.207615407014582
APOBEC1	Nonessential	-0.738455101138942	0.197706428717288	-0.825510597137905
APOBEC2	Other	0.140565752851928	-0.00851621161404062	0.168917382390546
APOBEC3A	Other	0.625048078432459	0.435758418195537	0.688304827186739
APOBEC3B	Other	0.859761915691005	0.781151270134266	0.840536840060314
APOBEC3C	Other	0.824683175935476	0.635048936405146	0.80582829872634
APOBEC3D	Other	0.253423611181881	0.172915212375858	0.223625489845528
APOBEC3F	Other	0.442097060105357	0.364291055756639	0.47147659837127
APOBEC3G	Other	0.412528494225999	0.239485256979474	0.422975793490761
APOBEC3H	Other	0.148077801462792	0.0452811963423221	0.245283785899756
ARCN1	Essential	-2.11084582034357	0.000534410491556498	-1.92525538224129
ARID1A	Other	0.48141467701854	0.0677998762430033	0.697097343781909
ARID1B	Other	0.216070450620722	0.180200038642908	0.407076964640078
ARID2	Other	0.609631497469758	0.0187419317891127	0.675140629534811
ARID4A	Other	-0.254735173901073	-0.0607195114547806	-0.46169315838997
ARID4B	Other	-0.601421470182045	-0.12819972284413	-0.628748461336245
ARNTL	Other	0.67151041090059	0.458759582801653	0.638772706268828
ARRB1	Other	-0.586540206439809	-0.185660566834819	-0.412968803732289
ASCL1	Other	-0.0180395546851545	-0.170167157542465	0.011635635320033
ASF1A	Other	1.01287036920297	0.992189710885231	1.08032979982338
ASF1B	Other	0.239571989668967	0.295750583192811	0.262676568369538
ASH1L	Other	-0.227650390227112	-0.22502069654558	-0.384967673736652
ASH2L	Other	-0.528001133815327	-0.0765297440645367	-0.523431101143755
ASXL1	Other	0.262782396224384	0.104543097871684	0.332660576234157
