Gene	Category	H2171.DMSO.18.R1.0	H2171.DMSO.18.R2.0	H2171.DMSO.18.R3.0	H2171.Plasmid.0.R1.0	H2171.PRMT5.18.R1.0	H2171.PRMT5.18.R2.0	H2171.PRMT5.18.R3.0
AAVS1	Nonessential	0.685484149279239	0.675927352833469	0.694880969404616	0.49722533004792	0.722617260130753	0.726743059980419	0.660091610862982
ABL1	Other	-0.463660251116483	-0.434110636554546	-0.374718326505986	-0.280574823172179	-0.173214785077953	-0.315483417344974	-0.43450203686203
ACTL6A	Other	-0.697333367158344	-0.450343449878523	-0.355393052779058	-0.139590810181865	-0.777164087168122	-0.47350735069536	-0.638167319074549
ACTL6B	Other	0.440002944355258	0.379237888970184	0.413144568370784	0.274659857767851	0.399202047561896	0.199497551912495	0.530592284172013
ACTR3B	Other	0.355774034693069	0.171033778976625	0.356353688726838	0.240812099023702	-0.0282191283054336	0.114407063139658	0.15669847503433
ACTR5	Other	-0.0576767620186625	0.0321496366619637	-0.182806382823149	0.0204722843241182	-0.0794188634367524	0.176568538126412	-0.22368903992262
ACTR6	Other	0.242402205973749	0.624436918810268	0.390611508910448	0.208865572998202	0.209634641613857	0.307433609169758	0.464982627240951
ACTR8	Other	0.157787201101446	0.104843397273175	0.0880351645965254	0.414134379379993	-0.157843466290097	-0.232723342257552	0.0631916359767304
AEBP2	Other	0.0285054733698677	-0.0664407222394214	0.0768192255719622	-0.0586579464542583	0.0515753565600627	0.126257905316694	0.17265147601902
AFF1	Other	0.156864353262227	0.300766925403625	0.221328391478694	-0.0427448443335177	0.0699740304158957	0.306053610390589	-0.288473726858166
AFF2	Other	0.410819393991063	0.57733783111433	0.44425035976578	0.172007924849892	0.299661057689367	0.469191759533627	0.537513515659884
AFF3	Other	0.0872616206528513	-0.136748571525589	0.0170469875922882	-0.0511603791674363	-0.0485201922566006	-0.0312639755119852	-0.106717580459324
AFF4	Other	1.17392612410607	1.32567311055385	1.20492581923985	0.142101613057916	1.07253230345332	1.19443492860967	1.24222982919733
AIRE	Other	0.0808335224986954	0.0224050847336266	0.104931256485308	0.0772730460790304	-0.163839218405273	0.0767359368042454	-0.0750277466313642
AKAP1	Other	-0.203750576798614	-0.0497194050087686	-0.271491665733119	0.173424103923577	-0.04192515530999	-0.162381669939204	-0.221369621089188
AKT1	Other	0.389316607323983	0.433445813013448	0.658313604477502	0.356619521977466	0.227342686288341	0.424480309850796	0.498995928415656
